baseMean	lfcSE	padj
ENSMUSG00000035299.16|Mid1	-4.92838880944871	5.74862020363729e-188
ENSMUSG00000078952.9|Lncenc1	-4.09831165091325	2.98023253049408e-177
ENSMUSG00000023087.15|Noct	4.05170192872339	4.30102970552697e-153
ENSMUSG00000022816.11|Fstl1	-2.81032296903579	7.630490752044e-109
ENSMUSG00000001435.15|Col18a1	-3.32117092857625	4.93526028633868e-104
ENSMUSG00000069045.11|Ddx3y	5.7621054964125	1.13602803455186e-101
ENSMUSG00000043681.5|Fam25c	-3.44348320472665	2.01307650800475e-92
ENSMUSG00000030523.18|Trpm1	-3.37962516115994	3.59530329015038e-83
ENSMUSG00000069049.11|Eif2s3y	5.66806443415214	5.52904987749036e-80
ENSMUSG00000095134.2|Mid1-ps1	-5.32733656615931	3.15308850356535e-70
ENSMUSG00000028164.15|Manba	-2.94491732696596	4.1879035933954e-67
ENSMUSG00000004044.9|Cavin1	-3.46520069710955	4.49038908935007e-63
ENSMUSG00000029761.16|Cald1	-2.90346772091254	2.90440163938657e-60
ENSMUSG00000031139.15|Mcf2	-3.33025860344206	8.69078745894417e-60
ENSMUSG00000075592.10|Nynrin	-2.32222822633973	9.94762300933657e-57
ENSMUSG00000099871.1|Gm21742	-5.42645488529295	7.66955604676052e-55
ENSMUSG00000026959.13|Grin1	4.97984101042846	1.17903933853055e-50
ENSMUSG00000000544.14|Gpa33	-2.65867151022701	3.93050935802187e-45
ENSMUSG00000044117.12|2900011O08Rik	-3.68653778850241	1.34712308506282e-44
ENSMUSG00000036218.16|Pdzrn4	3.92059942273137	1.76534520004144e-44
ENSMUSG00000042102.7|Dmgdh	-2.72759869937135	3.16936051920113e-41
ENSMUSG00000034607.6|Pof1b	4.1673773616871	4.12868815281467e-41
ENSMUSG00000110631.1|Gm42047	-2.53686733653038	3.24520196845265e-40
ENSMUSG00000000486.13|Sept1	-2.45227512082354	5.41171344788479e-40
ENSMUSG00000068457.14|Uty	6.02770271788221	1.92397495496402e-39
ENSMUSG00000005148.8|Klf5	-2.13039652922173	5.19221939403475e-39
ENSMUSG00000025964.15|Adam23	-3.4551233474356	6.65955204084137e-39
ENSMUSG00000029522.12|Pla2g1b	-4.73502953772204	6.5226416988094e-39
ENSMUSG00000072294.5|Klf12	-4.12385389462364	1.5160346415651e-38
ENSMUSG00000019817.18|Plagl1	-4.60257281424305	1.46768171054072e-35
ENSMUSG00000106968.1|C78283	-3.69432309395869	2.36008553851053e-35
ENSMUSG00000030310.10|Slc6a1	-4.53740122261904	1.51294741682287e-34
ENSMUSG00000024039.15|Cbs	-2.95881974133248	2.42233112165996e-34
ENSMUSG00000048528.7|Nkx1-2	-4.41107124062517	3.4403353434185e-34
ENSMUSG00000112523.1|Gm48377	-6.10794062505454	5.57975651351318e-33
ENSMUSG00000025324.8|Atp10a	5.36980464830822	7.48244594026466e-33
ENSMUSG00000056124.5|B4galt6	-2.19428675063797	7.40130816356653e-32
ENSMUSG00000052316.9|Lrrc15	3.98725418483389	1.16477008383738e-31
ENSMUSG00000041445.9|Mmrn2	-3.49747896598568	1.87459393788315e-31
ENSMUSG00000067889.5|Sptbn2	2.81424697537541	2.52346310627776e-30
ENSMUSG00000042770.8|Hebp1	-2.68992814660274	5.92398597018676e-30
ENSMUSG00000027820.12|Mme	-2.24159649000457	7.38793544859403e-30
ENSMUSG00000033826.10|Dnah8	-2.57524435874017	8.33180815130765e-30
ENSMUSG00000024421.16|Lama3	-2.59848431897342	1.10763970076086e-29
ENSMUSG00000000753.15|Serpinf1	5.15121783644852	1.34994913982708e-29
ENSMUSG00000057337.13|Chst3	-3.39573131710486	1.77223881200761e-29
ENSMUSG00000047878.13|A4galt	2.13748867222645	2.93494105422728e-29
ENSMUSG00000028480.14|Glipr2	2.85780453613963	4.77684286817964e-29
ENSMUSG00000020333.17|Acsl6	-3.22475606383548	9.06459443387165e-29
ENSMUSG00000025557.10|Slc15a1	-2.71456860503038	1.04859899032323e-28
ENSMUSG00000073568.2|Arl14epl	-2.2682485145252	3.2051703108193e-28
ENSMUSG00000051243.14|Islr2	-4.2410464090013	4.31320364171234e-28
ENSMUSG00000039106.6|Htr5a	-4.50731970222062	1.02499309670929e-27
ENSMUSG00000050424.9|Pnma5	-2.85753444684751	1.90573684637861e-27
ENSMUSG00000056673.14|Kdm5d	8.05823241948595	2.49637562754519e-27
ENSMUSG00000022912.8|Pros1	-2.58219071307146	3.79211873097151e-27
ENSMUSG00000118061.1|AC131065.2	-3.63348634650304	5.35958113760046e-27
ENSMUSG00000050071.8|Bex1	-2.02980178618333	1.50764887272763e-26
ENSMUSG00000028836.14|Slc30a2	-2.80527443889756	2.86513531153141e-26
ENSMUSG00000040488.17|Ltbp4	-2.5813012455336	3.17136768452595e-26
ENSMUSG00000047986.12|Palm3	-2.58055192095142	3.4949728767661e-26
ENSMUSG00000057130.12|Txnl4a	2.31851774519361	4.5901636162834e-26
ENSMUSG00000030222.13|Rerg	-3.07453233881569	1.49880459984472e-25
ENSMUSG00000025608.9|Podxl	3.25434018516488	1.72541959219868e-25
ENSMUSG00000053367.15|Epp13	-3.44064379519933	2.10129677021349e-25
ENSMUSG00000096780.7|Tmem181b-ps	-2.54023918420651	4.13015435626115e-25
ENSMUSG00000092622.8|Khdc3	3.80285401383268	3.4718835510116e-24
ENSMUSG00000085412.7|Halr1	-3.21181873832077	5.93990241782649e-24
ENSMUSG00000115318.1|Gm49089	-4.18883108464542	8.81572145239214e-24
ENSMUSG00000072774.10|Zfp951	2.78275902732059	1.93155302126686e-23
ENSMUSG00000032796.8|Lama1	-2.2493657162779	2.34890708185837e-23
ENSMUSG00000015243.4|Abca1	-2.80141286011919	6.30873121093678e-23
ENSMUSG00000021998.16|Lcp1	2.91678500522297	1.61830270881803e-22
ENSMUSG00000043004.13|Gng2	-3.09514582895274	1.81189237395005e-22
ENSMUSG00000086563.1|Platr15	-4.14063384430579	4.11129104241888e-22
ENSMUSG00000024617.16|Camk2a	-2.60268298418945	7.04835631378227e-22
ENSMUSG00000037492.16|Zmat4	-6.04496645904968	1.41481802116344e-21
ENSMUSG00000038141.11|Tmem181a	-1.95871899366727	2.06497155056279e-21
ENSMUSG00000000365.9|Rnf17	-2.31370139414242	1.34925410183736e-20
ENSMUSG00000067860.11|Zic3	-2.13586044773289	1.39048927052174e-20
ENSMUSG00000040703.11|Cyp2s1	2.92978852383973	1.91502789491851e-20
ENSMUSG00000020577.17|Tspan13	-2.24218408954344	2.30076825589565e-20
ENSMUSG00000031558.15|Slit2	2.35026585346141	2.507018930834e-20
ENSMUSG00000015766.14|Eps8	-2.10591544129545	8.74397103304218e-20
ENSMUSG00000030214.7|Plbd1	4.79756967703501	9.34548757810531e-20
ENSMUSG00000027082.15|Tfpi	-2.83892990006487	1.20220159320567e-19
ENSMUSG00000024548.11|Setbp1	2.9629031842088	4.36474701231601e-19
ENSMUSG00000031383.8|Dusp9	-2.16545664597899	4.83775473027007e-19
ENSMUSG00000001604.14|Tcea3	-2.24014099419563	5.42343104555393e-19
ENSMUSG00000022469.17|Rapgef3	-3.80875808057858	1.33093679069315e-18
ENSMUSG00000024063.13|Lbh	3.18075038976657	1.62441992812555e-18
ENSMUSG00000096255.2|Dynlt1b	-1.85830623154971	1.74419926987903e-18
ENSMUSG00000034570.12|Inpp5j	5.22213896895725	1.74303419833152e-18
ENSMUSG00000042386.7|Tex13b	-3.05324882142265	2.10862007301062e-18
ENSMUSG00000033066.15|Gas7	-2.6091683428099	2.1315961396445e-18
ENSMUSG00000021451.16|Sema4d	1.83920295511392	2.49355305536847e-18
ENSMUSG00000010760.5|Phlda2	3.4592771643023	6.92962983211162e-18
ENSMUSG00000028583.14|Pdpn	2.16091569573119	1.59097698670567e-17
ENSMUSG00000072568.4|Fam84b	2.93271815696326	1.89416135143219e-17
ENSMUSG00000033361.13|Prrg3	-3.73255018960182	2.14996111517176e-17
ENSMUSG00000051855.15|Mest	4.65981554898646	2.32527531642057e-17
ENSMUSG00000046186.8|Cd109	5.65721511334087	2.80643874555157e-17
ENSMUSG00000047844.3|Bex4	-1.94643605145909	2.9958154371446e-17
ENSMUSG00000032999.10|Nlrp4f	-1.96630329086186	4.40401471239445e-17
ENSMUSG00000048636.7|A730049H05Rik	-3.73479826375766	4.83407078053278e-17
ENSMUSG00000061048.8|Cdh3	3.23103941992405	1.03886048607997e-16
ENSMUSG00000020326.7|Ccng1	-1.70971473029737	1.14293495224186e-16
ENSMUSG00000033998.9|Kcnk1	2.62406169875415	1.15818419674512e-16
ENSMUSG00000033060.15|Lmo7	-1.9718861491589	1.61378478248618e-16
ENSMUSG00000068323.12|Slc4a5	-2.27475429723293	2.72488331958875e-16
ENSMUSG00000026837.15|Col5a1	-2.85604261006888	2.78207489938021e-16
ENSMUSG00000056579.18|Tug1	-2.1167320936145	3.6332806518075e-16
ENSMUSG00000027395.15|Polr1b	1.71339397801031	3.89347589199278e-16
ENSMUSG00000029287.14|Tgfbr3	-2.39593450093413	5.07146101517708e-16
ENSMUSG00000015134.15|Aldh1a3	-4.45261621044576	6.73100518221532e-16
ENSMUSG00000054469.14|Lclat1	2.3492065673293	7.21390868560471e-16
ENSMUSG00000036466.17|Megf11	2.17552614569751	9.05390663923055e-16
ENSMUSG00000050271.12|Prag1	3.24056927228209	1.15147663037113e-15
ENSMUSG00000040213.13|Kyat3	-2.15938571646176	1.63012132900099e-15
ENSMUSG00000053062.16|Jam2	-1.62260478864186	2.71740784440108e-15
ENSMUSG00000004891.16|Nes	2.2418632933101	2.84699305696276e-15
ENSMUSG00000103189.1|Gm37092	-4.93990319469245	3.45419934519017e-15
ENSMUSG00000005373.13|Mlxipl	3.03632433566302	3.55759888761268e-15
ENSMUSG00000034875.5|Nudt19	2.18279044914736	6.21030125380006e-15
ENSMUSG00000024420.9|Zfp521	3.56631575946467	6.47024871521719e-15
ENSMUSG00000097451.11|Rian	-1.8580702200793	1.30657981908419e-14
ENSMUSG00000028640.11|Tfap2c	1.97583289241227	1.35274310156104e-14
ENSMUSG00000047281.3|Sfn	2.02342973528241	1.39092965668111e-14
ENSMUSG00000022292.16|Rrm2b	2.09037473845751	1.75799571763529e-14
ENSMUSG00000098112.7|Bin2	-2.15021763635807	2.05927711974879e-14
ENSMUSG00000056476.13|Med12l	2.18587791458094	2.09780388402274e-14
ENSMUSG00000027712.13|Anxa5	-2.43717537748491	2.44436539604401e-14
ENSMUSG00000052534.15|Pbx1	-2.13699492297247	3.23006659816624e-14
ENSMUSG00000022325.14|Pop1	1.79639976691735	3.61732110562288e-14
ENSMUSG00000049775.16|Tmsb4x	-2.30927373527192	5.73045783896624e-14
ENSMUSG00000040907.15|Atp1a3	3.22930564482467	6.2032626987954e-14
ENSMUSG00000029361.18|Nos1	-2.15595534112301	6.41700744681533e-14
ENSMUSG00000027615.14|Hps3	2.73628030052731	8.36897983522762e-14
ENSMUSG00000027955.16|Gask1b	-3.26277629750443	1.6288153768053e-13
ENSMUSG00000021294.7|Kif26a	3.14323394115529	1.80734465362871e-13
ENSMUSG00000024619.8|Cdx1	-2.30994002935948	2.16315362524413e-13
ENSMUSG00000078915.2|Hsp25-ps1	-2.39260920716274	2.32204713536517e-13
ENSMUSG00000054074.9|Skida1	-2.75409090626121	2.37325497515242e-13
ENSMUSG00000047658.6|Gal3st3	3.35237250669666	2.43635635509992e-13
ENSMUSG00000084762.1|Platr3	-7.28299650581815	2.45197930386891e-13
ENSMUSG00000033213.16|AA467197	2.36163831711966	2.55092135477068e-13
ENSMUSG00000068115.13|Ninl	1.80446438762544	2.74603970877369e-13
ENSMUSG00000004951.10|Hspb1	-2.23748591506862	3.04590568091582e-13
ENSMUSG00000028392.15|Bspry	2.73835642624739	3.88570879489083e-13
ENSMUSG00000046323.8|Dppa3	2.44901833673911	4.14904529066585e-13
ENSMUSG00000045658.16|Pid1	-2.42552402569197	4.30352784966668e-13
