ID	x
ENSMUSG00000025907.14|Rb1cc1	4
ENSMUSG00000051285.17|Pcmtd1	2
ENSMUSG00000061024.8|Rrs1	2
ENSMUSG00000025915.14|Sgk3	1
ENSMUSG00000056763.16|Cspp1	2
ENSMUSG00000016918.15|Sulf1	2
ENSMUSG00000025925.14|Terf1	1
ENSMUSG00000025921.7|Rdh10	1
ENSMUSG00000025940.6|Tmem70	1
ENSMUSG00000025931.15|Paqr8	3
ENSMUSG00000004768.14|Rab23	1
ENSMUSG00000096992.3|Gm26788	3
ENSMUSG00000026131.19|Dst	6
ENSMUSG00000026127.13|Imp4	3
ENSMUSG00000037509.21|Arhgef4	2
ENSMUSG00000045216.7|Hs6st1	1
ENSMUSG00000104523.1|Gm37335	2
ENSMUSG00000037447.16|Arid5a	2
ENSMUSG00000037408.10|Cnnm4	2
ENSMUSG00000001138.13|Cnnm3	4
ENSMUSG00000026114.14|Cnga3	2
ENSMUSG00000026113.17|Inpp4a	1
ENSMUSG00000026088.15|Mitd1	1
ENSMUSG00000026083.12|Eif5b	3
ENSMUSG00000026078.10|Pdcl3	1
ENSMUSG00000003135.15|Cnot11	2
ENSMUSG00000026074.15|Map4k4	2
ENSMUSG00000045515.3|Pou3f3	1
ENSMUSG00000060679.14|Mrps9	1
ENSMUSG00000010290.7|AI597479	2
ENSMUSG00000066877.11|Nck2	2
ENSMUSG00000041684.11|Bivm	2
ENSMUSG00000026048.16|Ercc5	3
ENSMUSG00000026104.14|Stat1	1
ENSMUSG00000043015.15|Nemp2	1
ENSMUSG00000046994.9|Mars2	1
ENSMUSG00000100215.1|Gm8292	1
ENSMUSG00000038323.3|1700066M21Rik	1
ENSMUSG00000025971.6|Maip1	2
ENSMUSG00000026039.9|Sgo2a	8
ENSMUSG00000026036.17|Nif3l1	3
ENSMUSG00000041075.8|Fzd7	4
ENSMUSG00000026020.9|Nop58	1
ENSMUSG00000067336.6|Bmpr2	2
ENSMUSG00000041040.12|Fam117b	1
ENSMUSG00000026017.13|Carf	1
ENSMUSG00000073664.11|Nbeal1	1
ENSMUSG00000026782.15|Abi2	1
ENSMUSG00000025969.15|Nrp2	1
ENSMUSG00000027520.15|Zdbf2	6
ENSMUSG00000025964.15|Adam23	1
ENSMUSG00000025962.15|Fastkd2	1
ENSMUSG00000025958.14|Creb1	1
ENSMUSG00000070871.10|Ccnyl1	1
ENSMUSG00000025949.16|Pikfyve	4
ENSMUSG00000026005.15|Rpe	1
ENSMUSG00000026189.13|Pecr	1
ENSMUSG00000039354.16|Smarcal1	1
ENSMUSG00000006304.14|Arpc2	1
ENSMUSG00000026179.14|Pnkd	2
ENSMUSG00000026177.11|Slc11a1	1
ENSMUSG00000026174.9|Cnot9	1
ENSMUSG00000033257.14|Ttll4	4
ENSMUSG00000033227.7|Wnt6	1
ENSMUSG00000049339.16|Retreg2	1
ENSMUSG00000026201.12|Stk16	1
ENSMUSG00000026207.16|Speg	1
ENSMUSG00000033021.16|Gmppa	1
ENSMUSG00000079470.8|Utp14b	4
ENSMUSG00000026248.9|Mrpl44	1
ENSMUSG00000026142.15|Rhbdd1	1
ENSMUSG00000036707.16|Cab39	1
ENSMUSG00000094638.1|Gm21972	1
ENSMUSG00000079445.3|B3gnt7	2
ENSMUSG00000073627.7|C130036L24Rik	1
ENSMUSG00000026238.14|Ptma	2
ENSMUSG00000026240.12|Cops7b	1
ENSMUSG00000026254.17|Eif4e2	2
ENSMUSG00000048000.15|Gigyf2	3
ENSMUSG00000026288.14|Inpp5d	1
ENSMUSG00000026289.15|Atg16l1	1
ENSMUSG00000070738.10|Dgkd	1
ENSMUSG00000036206.12|Sh3bp4	4
ENSMUSG00000055013.15|Agap1	2
ENSMUSG00000092627.2|D130058E05Rik	2
ENSMUSG00000044337.5|Ackr3	1
ENSMUSG00000034432.11|Cops8	1
ENSMUSG00000026305.15|Lrrfip1	3
ENSMUSG00000070732.2|Rbm44	2
ENSMUSG00000034343.14|Ube2f	1
ENSMUSG00000034292.13|Traf3ip1	1
ENSMUSG00000034220.7|Gpc1	1
ENSMUSG00000026269.14|Rnpepl1	3
ENSMUSG00000106302.1|Mir6902	1
ENSMUSG00000026275.13|Ppp1r7	4
ENSMUSG00000026280.17|Atg4b	1
ENSMUSG00000026283.13|Ing5	2
ENSMUSG00000099624.1|Gm7889	1
ENSMUSG00000097814.5|Panct2	1
ENSMUSG00000026333.14|Gin1	1
ENSMUSG00000026321.7|Tnfrsf11a	1
ENSMUSG00000038866.15|Zcchc2	4
ENSMUSG00000103291.1|Gm38235	1
ENSMUSG00000044340.7|Phlpp1	1
ENSMUSG00000026377.12|Nifk	1
ENSMUSG00000080542.1|Gm22710	1
ENSMUSG00000064302.13|Clasp1	2
ENSMUSG00000026380.10|Tfcp2l1	1
ENSMUSG00000026339.18|Ccdc93	1
ENSMUSG00000036155.13|Mgat5	1
ENSMUSG00000026349.14|Ccnt2	2
ENSMUSG00000036104.12|Rab3gap1	1
ENSMUSG00000056211.13|R3hdm1	1
ENSMUSG00000026353.9|Ubxn4	2
ENSMUSG00000046404.5|Yod1	3
ENSMUSG00000026430.16|Rassf5	1
ENSMUSG00000055184.4|Fam72a	1
ENSMUSG00000013275.9|Slc41a1	2
ENSMUSG00000026435.15|Slc45a3	1
ENSMUSG00000026436.15|Elk4	2
ENSMUSG00000059149.17|Mfsd4a	1
ENSMUSG00000009772.15|Nuak2	1
ENSMUSG00000042046.15|Dstyk	2
ENSMUSG00000026439.14|Rbbp5	2
ENSMUSG00000048174.2|Tmem81	1
ENSMUSG00000026443.3|Lrrn2	1
ENSMUSG00000101102.1|Gm28609	1
ENSMUSG00000046062.5|Ppp1r15b	3
ENSMUSG00000041757.16|Plekha6	2
ENSMUSG00000026456.18|Cyb5r1	1
ENSMUSG00000042229.9|Rabif	1
ENSMUSG00000042207.17|Kdm5b	4
ENSMUSG00000097988.1|Gm10535	1
ENSMUSG00000031506.11|Ptpn7	1
ENSMUSG00000026421.14|Csrp1	1
ENSMUSG00000041801.5|Phlda3	2
ENSMUSG00000041782.14|Lad1	1
